TransactionId,TransactionDateTime,SelfServiceStatus,EventName,EventDate,VenueCountry,VenueCity,Section,Row,SeatFrom,SeatTo,Quantity,ListingNotes,CurrencyCode,TotalSellerNetProceeds,DeliveryMethodName
524281774,14/10/2023 07:08:20 p. m.,Complete,Pancho Barraza - Palenque Fiestas de Octubre 2023,16/10/2023 05:30:00 a. m.,México,Zapopan,General,,,,6,,MXN,10260.0000,Entrada electrónica
541879504,23/08/2024 02:15:36 a. m.,Complete,Guadalajara vs Juárez,31/08/2024 11:00:00 p. m.,México,Zapopan,Upper Tier 9,,,,4,Organización del Evento,MXN,1130.4000,Transferencia móvil
544085344,18/09/2024 08:09:36 p. m.,Complete,Guadalajara vs León,19/09/2024 01:00:00 a. m.,México,Zapopan,Upper Tier 23,,,,4,,MXN,1051.2000,Transferencia móvil
539460951,20/07/2024 12:35:19 a. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Upper Tier 47,,,,3,Organización del Evento,MXN,1898.1000,Transferencia móvil
539289840,17/07/2024 03:31:15 a. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Upper Tier 26,,,,4,Organización del Evento,MXN,1936.8000,Transferencia Móvil de Entradas
514421431,07/04/2023 06:41:33 a. m.,Complete,Julión Álvarez,01/05/2023 04:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,4500.0000,FedEx Nacional Día Siguiente
538560926,04/07/2024 06:34:14 p. m.,Complete,Chivas vs Toluca,07/07/2024 01:00:00 a. m.,México,Zapopan,Upper Tier 24,,,,4,"Incluye estacionamiento, Organización del Evento",MXN,3333.6000,Transferencia móvil
538855008,09/07/2024 06:11:10 p. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Lower Tier 8,,,,2,Organización del Evento,MXN,1886.4000,Transferencia Móvil de Entradas
539396734,19/07/2024 03:28:37 a. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Lower Tier 5,,,,2,Organización del Evento,MXN,1980.0000,Transferencia móvil
540179370,30/07/2024 10:44:36 p. m.,Complete,Guadalajara vs C.F. Monterrey,29/09/2024 03:05:00 a. m.,México,Zapopan,Lower Tier 34,,,,6,Organización del Evento,MXN,7819.2000,Transferencia móvil
539097171,13/07/2024 02:21:12 p. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Grada Inferior,,,,3,Organización del Evento,MXN,1479.6000,Transferencia Móvil de Entradas
542361680,29/08/2024 05:16:03 p. m.,Complete,Guadalajara vs Atlas,06/10/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 1,,,,3,Organización del Evento,MXN,10451.7000,Transferencia Móvil de Entradas
534085784,29/04/2024 02:03:45 a. m.,Complete,Remmy Valenzuela,04/05/2024 02:00:00 a. m.,México,Aguascalientes,Primer Nivel,,,,7,Organización del Evento,MXN,37800.0000,FedEx Nacional Día Siguiente
532204998,28/03/2024 03:57:13 p. m.,Complete,Alfredo Olivas,05/05/2024 05:00:00 a. m.,México,Jalisco,VIP,,,,4,Organización del Evento,MXN,34200.0000,Entrada electrónica
545904846,09/10/2024 08:05:20 p. m.,Complete,Guadalajara vs Atlético San Luis,09/11/2024 11:05:00 p. m.,México,Zapopan,Lower Tier 2,,,,8,Organización del Evento,MXN,12960.0000,Transferencia móvil
544205220,20/09/2024 01:18:34 a. m.,Complete,Guadalajara vs Atlético San Luis,09/11/2024 11:05:00 p. m.,México,Zapopan,Upper Tier 23,,,,2,Organización del Evento,MXN,1780.2000,Transferencia móvil
546634150,18/10/2024 09:40:12 p. m.,Complete,Guadalajara vs Necaxa,23/10/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 17,,,,2,Organización del Evento,MXN,808.2000,Transferencia móvil
542333033,29/08/2024 04:40:00 a. m.,Complete,Guadalajara vs León,19/09/2024 01:00:00 a. m.,México,Zapopan,Lower Tier 9,,,,3,Organización del Evento,MXN,2427.3000,Transferencia móvil
514739517,14/04/2023 12:50:16 a. m.,Complete,Edith Marquez,27/04/2023 04:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,1285.2000,FedEx Nacional Día Siguiente
531204619,11/03/2024 04:54:13 a. m.,Complete,Carin León,18/04/2024 02:00:00 a. m.,México,Aguascalientes,Segundo Nivel,,,,2,Organización del Evento,MXN,7200.0000,FedEx Nacional Día Siguiente
538726595,07/07/2024 05:22:36 a. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Lower Tier 8,,,,5,Organización del Evento,MXN,4941.0000,Transferencia Móvil de Entradas
539185830,14/07/2024 10:25:20 p. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Lower Tier 5,,,,3,Organización del Evento,MXN,3234.6000,Transferencia Móvil de Entradas
